timestamp,tel_pezzi_prodotti,tel_tempo_attivo,tel_tempo_fermo,tel_velocità_nominale,disponibilità,efficienza
2020-04-14 08:00:00,744.3971262293294,1612,1988,0.46462020000000653,0.4478,0.9939
2020-04-14 09:00:00,935.6542681357109,1988,1547,0.46462020000000315,0.5624,1.013
2020-04-14 10:00:00,1390.6548785908647,2937,728,0.4646202000000015,0.8014,1.0191
2020-04-14 11:00:00,997.5476305604717,2130,1453,0.464620200000004,0.5945,1.008
2020-04-14 12:00:00,1383.4075329245757,2925,690,0.46462020000000454,0.8091,1.0179
2020-04-14 13:00:00,668.5637732363714,1413,2147,0.4646202000000052,0.3969,1.0184
2020-04-14 14:00:00,940.6728074715895,1987,1653,0.46462020000000637,0.5459,1.0189
2020-04-14 15:00:00,570.9839739988558,1225,1730,0.4646202000000065,0.4146,1.0032
2020-04-14 16:00:00,181.2204488693941,414,1826,0.4646202000000044,0.1848,0.9421
2020-04-14 17:00:00,355.1915913752579,757,2843,0.46462020000000326,0.2103,1.0099
2020-04-15 04:00:00,275.45515922258426,628,2971,0.46462020000000764,0.1745,0.944
2020-04-15 05:00:00,1296.9812714684076,2737,863,0.46462020000000764,0.7603,1.0199
2020-04-15 06:00:00,1254.6036207839632,2647,953,0.46462020000000764,0.7353,1.0201
2020-04-15 07:00:00,1284.1564715966563,2722,878,0.46462020000000764,0.7561,1.0154
2020-04-15 08:00:00,940.6738389284336,1992,1608,0.46462020000000764,0.5533,1.0164
2020-04-15 09:00:00,816.8862498853356,1752,1848,0.46462020000000764,0.4867,1.0035
2020-04-15 10:00:00,1446.418376623371,3049,551,0.4646202000000073,0.8469,1.021
2020-04-15 11:00:00,988.6260864041153,2109,1490,0.46462020000000503,0.586,1.0089
2020-04-15 12:00:00,1170.4057567924278,2489,1111,0.46462020000000764,0.6914,1.0121
2020-04-15 13:00:00,1501.063798667985,3207,393,0.46462020000000764,0.8908,1.0074
2020-04-15 14:00:00,1318.1709122190812,2861,739,0.46462020000000764,0.7947,0.9916
2020-04-15 15:00:00,1189.3647606091035,2600,1000,0.46462020000000764,0.7222,0.9846
2020-04-15 16:00:00,1216.6873415377565,2646,954,0.46462020000000764,0.735,0.9897
2020-04-15 17:00:00,472.84636568782724,1033,2567,0.46462020000000764,0.2869,0.9852
2020-04-16 04:00:00,165.0500676159061,397,3199,0.46462020000000764,0.1104,0.8948
