timestamp,allarme_id,allarme_bloccante,allarme_durata_media,allarme_tf_medio,allarme_numero,tel_pezzi_prodotti,tel_tempo_attivo,tel_tempo_fermo,tel_velocità_nominale,disponibilità,efficienza
2020-04-09 12:00:00,107,True,47.41666666666666,52.0,12,1107.9555749351805,2488,1112,0.4646202000000076,0.6911,0.9585
2020-04-09 13:00:00,107,True,17.142857142857142,22.571428571428573,7,1436.383384096314,3218,382,0.4646202000000076,0.8939,0.9607
2020-04-09 14:00:00,67,True,12.0,12.0,1,1025.988101628937,2301,1299,0.4646202000000076,0.6392,0.9597
2020-04-09 14:00:00,107,True,31.75,31.75,4,1025.988101628937,2301,1299,0.4646202000000076,0.6392,0.9597
2020-04-09 15:00:00,67,True,14.0,15.0,1,250.92095460841247,567,3033,0.4646202000000076,0.1575,0.9525
2020-04-09 15:00:00,70,True,29.0,29.0,1,250.92095460841247,567,3033,0.4646202000000076,0.1575,0.9525
2020-04-09 15:00:00,83,True,31.0,36.0,1,250.92095460841247,567,3033,0.4646202000000076,0.1575,0.9525
2020-04-09 15:00:00,102,True,3.0,3379.0,1,250.92095460841247,567,3033,0.4646202000000076,0.1575,0.9525
2020-04-09 16:00:00,4,True,68.5,1097.0,2,75.27624084974397,194,3381,0.4646202000000076,0.0543,0.8351
2020-04-09 16:00:00,72,True,5.0,10.0,1,75.27624084974397,194,3381,0.4646202000000076,0.0543,0.8351
2020-04-09 16:00:00,79,True,5.0,6.0,1,75.27624084974397,194,3381,0.4646202000000076,0.0543,0.8351
2020-04-09 16:00:00,107,True,163.5,163.5,2,75.27624084974397,194,3381,0.4646202000000076,0.0543,0.8351
2020-04-09 17:00:00,4,True,1324.0,1999.0,1,181.22072299531217,408,3192,0.4646202000000076,0.1133,0.956
2020-04-09 17:00:00,68,True,82.0,86.0,1,181.22072299531217,408,3192,0.4646202000000076,0.1133,0.956
2020-04-09 17:00:00,102,True,3.0,2020.0,1,181.22072299531217,408,3192,0.4646202000000076,0.1133,0.956
2020-04-09 17:00:00,107,True,38.0,38.0,1,181.22072299531217,408,3192,0.4646202000000076,0.1133,0.956
2020-04-09 18:00:00,69,True,1.0,2.0,1,843.0944857263102,1919,1679,0.4646202000000076,0.5334,0.9456
