timestamp,allarme_id,allarme_bloccante,allarme_durata_media,allarme_tf_medio,allarme_numero
2020-04-09 11:00:00,103,True,4.25,145.0,4
2020-04-09 11:00:00,107,True,303.0,303.0,1
2020-04-09 11:00:00,110,,302.0,-1.0,1
2020-04-09 11:00:00,155,True,8.0,9.0,1
2020-04-09 11:00:00,157,True,1.0,2.0,1
2020-04-09 12:00:00,0,,134.04545454545453,-1.0,22
2020-04-09 12:00:00,2,,17.0,-1.0,3
2020-04-09 12:00:00,4,,80.5,-1.0,4
2020-04-09 12:00:00,4,True,1.0,6.0,1
2020-04-09 12:00:00,22,True,1.0,2.0,1
2020-04-09 12:00:00,68,True,28.0,29.0,1
2020-04-09 12:00:00,83,True,133.0,138.0,2
2020-04-09 12:00:00,85,,3.0,-1.0,1
2020-04-09 12:00:00,89,,6.0,-1.0,1
2020-04-09 12:00:00,107,,10.333333333333334,-1.0,3
2020-04-09 12:00:00,107,True,47.416666666666664,52.0,12
2020-04-09 12:00:00,110,,65.0,-1.0,9
2020-04-09 13:00:00,0,,243.46153846153845,-1.0,13
2020-04-09 13:00:00,2,,55.6,-1.0,5
2020-04-09 13:00:00,107,,29.0,-1.0,2
2020-04-09 13:00:00,107,True,17.142857142857142,22.571428571428573,7
2020-04-09 13:00:00,110,,21.125,-1.0,8
2020-04-09 13:00:00,149,,15.0,-1.0,2
2020-04-09 14:00:00,0,,201.33333333333334,-1.0,12
2020-04-09 14:00:00,2,,187.5,-1.0,6
2020-04-09 14:00:00,3,,771.0,-1.0,1
2020-04-09 14:00:00,4,,399.0,-1.0,2
2020-04-09 14:00:00,67,True,12.0,12.0,1
2020-04-09 14:00:00,107,True,31.75,31.75,4
2020-04-09 14:00:00,110,,61.5,-1.0,2
2020-04-09 14:00:00,149,,50.75,-1.0,4
2020-04-09 15:00:00,0,,56.8,-1.0,10
2020-04-09 15:00:00,2,,63.5,-1.0,4
2020-04-09 15:00:00,3,,2.0,-1.0,1
2020-04-09 15:00:00,4,,11.0,-1.0,1
2020-04-09 15:00:00,67,True,14.0,15.0,1
2020-04-09 15:00:00,70,True,29.0,29.0,1
2020-04-09 15:00:00,83,True,31.0,36.0,1
2020-04-09 15:00:00,102,True,3.0,3379.0,1
2020-04-09 15:00:00,107,,27.5,-1.0,2
2020-04-09 15:00:00,110,,26.5,-1.0,2
2020-04-09 15:00:00,149,,79.0,-1.0,3
2020-04-09 15:00:00,150,,4.0,-1.0,1
2020-04-09 16:00:00,0,,24.625,-1.0,8
2020-04-09 16:00:00,2,,4.5,-1.0,2
2020-04-09 16:00:00,3,,4.5,-1.0,2
2020-04-09 16:00:00,4,,1568.5,-1.0,2
2020-04-09 16:00:00,4,True,68.5,1097.0,2
2020-04-09 16:00:00,22,,1282.0,-1.0,1
2020-04-09 16:00:00,24,,1810.0,-1.0,1
2020-04-09 16:00:00,72,True,5.0,10.0,1
2020-04-09 16:00:00,79,True,5.0,6.0,1
2020-04-09 16:00:00,107,True,163.5,163.5,2
2020-04-09 16:00:00,110,,162.5,-1.0,2
2020-04-09 16:00:00,127,,1354.0,-1.0,1
2020-04-09 16:00:00,149,,6.0,-1.0,1
2020-04-09 16:00:00,150,,6.0,-1.0,1
2020-04-09 17:00:00,0,,136.33333333333334,-1.0,3
2020-04-09 17:00:00,3,,1305.0,-1.0,1
2020-04-09 17:00:00,4,True,1324.0,1999.0,1
2020-04-09 17:00:00,68,True,82.0,86.0,1
2020-04-09 17:00:00,87,,1.0,-1.0,1
2020-04-09 17:00:00,102,True,3.0,2020.0,1
2020-04-09 17:00:00,107,,358.5,-1.0,2
2020-04-09 17:00:00,107,True,38.0,38.0,1
2020-04-09 17:00:00,110,,250.66666666666666,-1.0,3
2020-04-09 18:00:00,0,,86.52380952380952,-1.0,21
2020-04-09 18:00:00,2,,10.0,-1.0,2
2020-04-09 18:00:00,69,True,1.0,2.0,1
2020-04-09 18:00:00,70,True,1.0,2.0,1
2020-04-09 18:00:00,71,True,1.0,2.0,1
2020-04-09 18:00:00,107,True,24.1875,24.1875,32
2020-04-09 18:00:00,110,,53.0,-1.0,14
2020-04-09 19:00:00,0,,276.0833333333333,-1.0,12
2020-04-09 19:00:00,2,,40.0,-1.0,4
2020-04-09 19:00:00,4,,21.5,-1.0,2
2020-04-09 19:00:00,66,True,27.0,28.0,1
2020-04-09 19:00:00,107,,33.5,-1.0,2
2020-04-09 19:00:00,107,True,27.333333333333332,33.666666666666664,3
2020-04-09 19:00:00,110,,36.0,-1.0,4
2020-04-09 19:00:00,149,,57.666666666666664,-1.0,3
2020-04-09 20:00:00,0,,393.375,-1.0,8
2020-04-09 20:00:00,2,,12.0,-1.0,1
2020-04-09 20:00:00,4,,51.333333333333336,-1.0,3
2020-04-09 20:00:00,22,,137.0,-1.0,1
2020-04-09 20:00:00,67,True,12.0,13.0,1
2020-04-09 20:00:00,83,True,30.0,31.0,1
2020-04-09 20:00:00,102,True,177.0,224.0,1
2020-04-09 20:00:00,107,True,25.0,31.333333333333332,3
2020-04-09 20:00:00,110,,36.0,-1.0,2
2020-04-09 20:00:00,149,,56.0,-1.0,2
2020-04-09 21:00:00,0,,121.54545454545455,-1.0,22
2020-04-09 21:00:00,2,,15.0,-1.0,9
2020-04-09 21:00:00,4,,22.0,-1.0,2
2020-04-09 21:00:00,63,True,11.0,11.0,1
2020-04-09 21:00:00,68,True,14.0,14.5,2
2020-04-09 21:00:00,107,True,21.916666666666668,21.916666666666668,12
2020-04-09 21:00:00,110,,35.857142857142854,-1.0,7
2020-04-09 21:00:00,149,,8.0,-1.0,1
2020-04-09 22:00:00,0,,177.3684210526316,-1.0,19
2020-04-09 22:00:00,2,,8.2,-1.0,5
2020-04-09 22:00:00,4,,59.5,-1.0,2
2020-04-09 22:00:00,4,True,43.333333333333336,45.333333333333336,3
